STT,Block Type,Block,Type,Layer Name,In Channels,Out Channels,Resolution (HxW),OFM,OFM_SIZE (byte),OFM_TYPE,IFM,IFM_SIZE (byte),IFM_TYPE,Weight Shape,Weight Params,Weight Size (Byte),kernel,padding,stride,Weight Storage DType,Weight Notes
364,,,Constant,/Generator/resblock_8/norm2/Constant_1,N/A,N/A,N/A,[],2,float16,N/A,0,N/A,N/A,0,0,,,,N/A,
365,,,Constant,/Generator/resblock_8/norm2/Constant_2,N/A,N/A,N/A,[],2,float16,N/A,0,N/A,N/A,0,0,,,,N/A,
366,,,Constant,/Generator/resblock_8/norm2/Constant_3,N/A,N/A,N/A,[],2,float16,N/A,0,N/A,N/A,0,0,,,,N/A,
367,,upconv_block1,Constant,/Generator/upconv_block1/upconv_block1.1/Constant,N/A,N/A,N/A,[1],8,int64,N/A,0,N/A,N/A,0,0,,,,N/A,
368,,,Constant,/Generator/upconv_block1/upconv_block1.1/Constant_1,N/A,N/A,N/A,[],2,float16,N/A,0,N/A,N/A,0,0,,,,N/A,
369,,,Constant,/Generator/upconv_block1/upconv_block1.1/Constant_2,N/A,N/A,N/A,[],2,float16,N/A,0,N/A,N/A,0,0,,,,N/A,
370,,,Constant,/Generator/upconv_block1/upconv_block1.1/Constant_3,N/A,N/A,N/A,[],2,float16,N/A,0,N/A,N/A,0,0,,,,N/A,
371,,upconv_block2,Constant,/Generator/upconv_block2/upconv_block2.1/Constant,N/A,N/A,N/A,[1],8,int64,N/A,0,N/A,N/A,0,0,,,,N/A,
372,,,Constant,/Generator/upconv_block2/upconv_block2.1/Constant_1,N/A,N/A,N/A,[],2,float16,N/A,0,N/A,N/A,0,0,,,,N/A,
373,,,Constant,/Generator/upconv_block2/upconv_block2.1/Constant_2,N/A,N/A,N/A,[],2,float16,N/A,0,N/A,N/A,0,0,,,,N/A,
374,,,Constant,/Generator/upconv_block2/upconv_block2.1/Constant_3,N/A,N/A,N/A,[],2,float16,N/A,0,N/A,N/A,0,0,,,,N/A,
375,,upconv_block3,Constant,/Generator/upconv_block3/upconv_block3.1/Constant,N/A,N/A,N/A,[1],8,int64,N/A,0,N/A,N/A,0,0,,,,N/A,
376,,,Constant,/Generator/upconv_block3/upconv_block3.1/Constant_1,N/A,N/A,N/A,[],2,float16,N/A,0,N/A,N/A,0,0,,,,N/A,
